основа	прил.	он	она	они	прим.
аале́н	-ский	-ец	-ка	-цы	Аáлен
ааро́нов	-ский	-ец	-ка	-цы	аароново согласие
аа́хен	-ский	-ец	-ка	-цы	А́ахен
аба́	-йский	-ец	-йка	-йцы	Аба́й
абада́н	-ский	-ец	-ка	-цы	Абада́н
абази́н	-ский	-ец	-ка	-цы	народ
абака́н	-ский	-ец	-ка	-цы	Абака́н
а́ба́н	-ский	-ец	-ка	-цы	А́бан 
аба́ш	-ский	-ец	-ка	-цы	Аба́ша
а́бве́ров	-ский	-ец	-ка	-цы	а́бвер 
абду́лин	-ский	-ец	-ка	-цы	Абду́лино
аберди́н	-ский	-ец	-ка	-цы	Аберди́н 
абзели́лов	-ский	-ец	-ка	-цы	Абзели́ловский райо́н
абиджа́н	-ский	-ец	-ка	-цы	Абиджа́н
аби́н	-ский	-ец	-ка	-цы	Аби́нск
абисси́н	-ский	-ец	-ка	-цы	Абисси́ния
абовя́н	-ский	-ец	-ка	-цы	Абовя́н 
абудаби́	-йский	-ец	-йка	-йцы	Абу́-Да́би, А́бу-Да́би 
абха́з	-ский	-ец	-ка	-цы	Абха́зия
ава́р	-ский	-ец	-ка	-цы	дагестанский народ
авари́	-йский	-ец	-йка	-йцы	авария
августи́н	-ский	-ец	-ка	-цы	святой Августин
авде́ев	-ский	-ец	-ка	-цы	Авде́евка
авиано́с	-ский	-ец		-цы	изделие
авиньо́н	-ский	-ец	-ка	-цы	Авиньо́н
австрали́	-йский	-ец	-йка	-йцы	Австра́лия
австри́	-йский	-ец	-йка	-йцы	А́встрия
автовладе́л	-ьский	-ец		-ьцы	владелец автомобиля
автовладе́лиц	-ский		-а	-ы	владелица автомобиля
автогра́д	-ский	-ец	-ка	-цы	город автомобилестроителей
автозаво́д	-ский	-ец	-ка	-цы	автомобильный завод
автомотовладе́л	-ьский	-ец	-ица	-ьцы	владелец автомототехники
агади́р	-ский	-ец	-ка	-цы	Агади́р
агады́р	-ский	-ец	-ка	-цы	Агады́рь
ага́пов	-ский	-ец	-ка	-цы	Ага́повка
агда́м	-ский	-ец	-ка	-цы	Агда́м
агда́ш	-ский	-ец	-ка	-цы	Агда́ш
агджабеди́н	-ский	-ец	-ка	-цы	Агджабеди́
аги́н	-ский	-ец	-ка	-цы	Аги́нское
а́гн	-ский	-ец		-цы	кротость животного
а́гнц	-ский	-		-ы	кротость ягнёнка
а́грин	-ский	-ец	-ка	-цы	А́гра
агропро́мов	-ский	-ец	-ка	-цы	работник агропрома
агры́з	-ский	-ец	-ка	-цы	Агры́з
агу́л	-ьский	-ец	-ка	-ьцы	Агульский район
ада́мов	-ский	-ец	-ка	-цы	Ада́мовка
а́дан	-ский	-ец	-ка	-цы	А́дана́
аделаи́д	-ский	-ец	-ка	-цы	Аделаи́да
а́ден	-ский	-ец	-ка	-цы	А́ден
аджа́н	-ский	-ец	-ка	-цы	Аджа́н
аджа́р	-ский	-ец	-ка	-цы	Аджа́рия
аджме́р	-ский	-ец	-ка	-цы	Аджме́р
адиге́н	-ский	-ец	-ка	-цы	Адиге́н
а́длер	-ский	-ец	-ка	-цы	А́длер
адыге́	-йский	-ец	-йка	-йцы	Адыге́я
адыгеха́бл	-ьский	-ец	-ка	-ьцы	Ады́ге-Хабль
азербайджа́н	-ский	-ец	-ка	-цы	Азербайджа́н
азизбе́ков	-ский	-ец	-ка	-цы	Азизбе́ков
азнака́ев	-ский	-ец	-ка	-цы	Азнака́ев
азо́в	-ский	-ец	-ка	-цы	Азо́в
айда́хов	-ский	-ец	-ка	-цы	Айда́хов
а́йкин	-ский	-ец	-ка	-цы	А́йкин
