континент	государство	граждане	гражданин	гражданка	столица	горожане	горожанин	горожанка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Австралия и Океания	Австра́лия	австрали́йцы	австрали́ец	австрали́йка	Канбе́рра	канбе́ррцы	канбе́ррец	камбе́ррка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Австралия и Океания	Вануа́ту	вануа́тцы	вануа́тец	вануа́тка	Порт-Ви́ла	портви́льцы	портви́лец	портви́лка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Австралия и Океания	Кириба́ти	кириба́тцы	кириба́тец	кириба́тка	Ю́жная Тара́ва (Баири́ки)	тарава́нцы	тараване́ц	тарава́нка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Австралия и Океания	Марша́лловы Острова́	марша́лловцы	марша́лловец	марша́лловка	Ма́джуро	ма́джурцы	ма́джурец	ма́нджурка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Австралия и Океания	Микроне́зия	микронези́йцы	микронези́ец	микронези́йка	Палики́р	палики́рцы	палики́рец	палики́рка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Австралия и Океания	Науру́	науруа́нцы	науруа́нец	науруа́нка	—																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
Австралия и Океания	Но́вая Зела́ндия	новозела́ндцы	новозела́ндец	новозела́ндка	Ве́ллингто́н	ве́ллингто́нцы	ве́ллингто́нец	ве́ллингто́нка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Австралия и Океания	Пала́у	палауа́нцы	палауа́нец	палауа́нка	Нге́рулмуд	нгерулму́дцы	нгерулму́дец	нгерулму́дка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Австралия и Океания	Па́пуа — Но́вая Гвине́я	гвине́йцы / папуа́сы	гвине́ец / папуа́с	гвине́йка / папуа́ска	Порт-Мо́рсби	портмо́рсбцы	портмо́рсбиец	портмо́рсбийка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Австралия и Океания	Само́а	самоа́нцы	самоа́нец	самоа́нка	А́пиа	а́пийцы	а́пиец	а́пийка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Австралия и Океания	Соломо́новы Острова́	соломо́новцы	соломо́новец	соломо́новка	Хониа́ра	хониа́рцы	хониа́рец	хониа́рка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Австралия и Океания	То́нга	то́нганцы	то́нганец	то́нганка	Нукуало́фа	нукуало́фцы	нукуало́фец	нукуало́фка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Австралия и Океания	Тува́лу	тували́йцы	тували́ец	туваля́нка	Фунафу́ти	фунафу́тцы	фунафу́тец	фунафу́тка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Австралия и Океания	Фи́джи	фиджи́йцы	фиджи́ец	фиджи́йка	Су́ва	су́вцы	су́вец	су́вка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Азия	Абха́зия	абха́зцы	абха́зец	абха́зка	Суху́м	суху́мцы	суху́мец	суху́мка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Азия	Ара́вия / Сау́довская Ара́вия	аравитя́не / арави́йцы	аравитя́нин / арави́ец	аравитя́нка / арави́йка	Эр-Рия́д	эррия́дцы	эррия́дец	эррия́дка																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
