наименование (город / страна)	житель (он, м.р.)	жительница (она, ж.р.)	жители (они, мн.ч.)
Абака́н	абака́нец	абака́нка	абака́нцы
Абу-Да́би	абуда́бец	абуда́бка	абуда́бцы
Абу́джа	абу́джец	абу́джайка	абу́джцы
Абха́зия	абха́зец	абха́зка	абха́зцы
Австра́лия	австрали́ец	австрали́йка	австрали́йцы
А́встрия	австри́ец	австри́йка	австри́йцы
Адди́с-Абе́ба	аддисабе́бец	аддисабе́бка	аддисабе́бцы
Адыге́я	адыге́ец	адыге́йка	ады́ге
Аза́д-Кашми́р	аза̀дкашми́ровец	аза̀дкашми́ровка	аза̀дкашми́ровцы
Азербайджа́н	азербайджа́нец	азербайджа́нка	азербайджа́нцы
А́зия	азиа́т	азиа́тка	азиа́ты
Айда́хо	айда́ховец	айда́ховка	айда́ховцы
Айо́ва	айо́вец	айова́нка	айо́вцы
А́ккра	а́ккрец	а́ккрка	а́ккрцы
Алаба́ма	алаба́мец	алаба́мка	алаба́мцы
Алба́ния	алба́нец	алба́нка	алба́нцы
Алжи́р	алжи́рец	алжи́рка	алжи́рцы
Алта́й	алта́ец	алта́йка	алта́йцы
Алта́йский край	алта́ец	алта́йка	алта́йцы
Аля́ска	аля́скинец	аля́скинка	аля́скинцы
Аме́рика	америка́нец	америка́нка	америка́нцы
Амма́н	амма́нец	амма́нка	амма́нцы
Амстерда́м	амстерда́мец	амстерда́мка	амстерда́мцы
Аму́рская о́бласть	амурча́нин	амурча́нка	амурча́не
Ана́дырь	ана́дырец	ана́дырка	ана́дырьцы
Анато́лия	анатоли́ец	анатоли́йка	анатоли́йцы
Анго́ла	анго́лец	анго́лка	анго́льцы
Андо́рра	андорра́нец	андорра́нка	андорра́нцы
Андо́рра-ла-Ве́лья	андо́ррец	андо́ррка	андо́ррцы
Анкара́	анка́рец	анка́рка	анка́рцы
Анна́полис 	анна́полисец	анна́полиска	анна́полисцы
Антананари́ву	антананари́вец	антананари́вка	антананари́вцы
Анти́гуа	антигуа́нец	антигуа́нка	антигуа́нцы
Аомы́нь	аомы́нец	аомы́нька	аомы́ньцы
А́пиа	а́пиец	а́пийка	а́пийцы
Ара́бия	араби́ец	араби́ка	араби́йцы
Ара́бская земля	ара́б	ара́бка	ара́бы
Ара́бские Эмира́ты	эмира́товец	эмира́товка	эмира́товцы
Ара́вия	аравитя́нин	аравитя́нка	аравитя́не
Ара́вия	арави́ец	арави́йка	арави́йцы
Аргенти́на	аргенти́нец	аргенти́нка	аргенти́нцы
Аризо́на	аризо́нец	аризо́нка	аризо́нцы
Арканза́с	арканза́сец	арканза́ска	арканза́сцы
Арме́ния	армяни́н	армя́нка	армя́не
Арха́нгельск	арха́нгелец	арха́нгелька	арха́нгельцы
Асмэ́ра	асмэ́рец	асмэ́рка	асмэ́рцы
Астана́	астанча́нец	астанча́нка	астанча́не
Астраха́нская о́бласть	астраха́нец	астраха́нка	астраха́нцы
А́страхань	а́страханец	а́страха́нка	а́страханцы
Астраха́ньщина	астраха́ньщинец	астраха́ньщинка	астраха́ньщинцы
Асунсьо́н	асунсьо́нец	асунсьо́нка	асунсьо́нцы
Атла́нта 	атла́нтец	атла́нтка	атла́нтцы
Афганиста́н	афга́нец	афга́нка	афга́нцы
Афи́ны	афи́нец	афи́нка	афи́нцы
А́фрика	африка́нец	африка́нка	африка́нцы
Ашхаба́д	ашхаба́дец	ашхаба́дка	ашхаба́дцы
Бава́рия	бава́рец	бава́рка	бава́рцы
Бага́мские Острова́	бага́мец	бага́мка	бага́мцы
Багда́д	багда́дец	багда́дка	багда́дцы
Ба́ден-Вю́ртемберг	ба́денвю́ртембергец	ба́денвю́ртембергка	ба́денвю́ртембергцы
Баку́	баки́нец	баки́нка	баки́нцы
Балканы	балка́нец	балка́нка	балка́нцы
Бамако́	бамако́вец	бамако́вка	бамако́вцы
Банги́	банги́ец	банги́йка	банги́йцы
Бангко́к	бангко́кец	бангко́кка	бангко́кцы
Бангладе́ш	бангладе́шец	бангладе́шка	бангладе́шцы
Ба́ндар-Сери́-Бега́ван	бандарсерибегава́нец	бандарсерибегава́нка	бандарсерибегава́нцы
Банжу́л	банжу́лец	банжу́лка	банжу́лцы
Барбадо́с	барбадо́сец	барбадо́ска	барбадо́сцы
Барбу́да	барбуда́нец	барбуда́нка	барбуда́нцы
Барнау́л	барнау́лец	барнау́лка	барнау́льцы
Басте́р	басте́рец	басте́рка	басте́рцы
Ба́тон-Руж 	ба́тонру́жец	ба́тонру́жка	ба́тонру́жцы
Бахре́йн	бахре́йнец	бахре́йнка	бахре́йнцы
Башкортоста́н	башкортоста́нец	башкортоста́нка	башкортоста́нцы
Бейру́т	бейру́тец	бейру́тка	бейру́тцы
Белару́сь	белару́с	белару́ска	белару́сы
Бе́лгород	бе́лгородец	бе́лгородка	бе́лгородцы
Белгоро́дская о́бласть	белгоро́дец	белгоро́дка	белгоро́дцы
Белгоро́дщина	белгоро́дщинец	белгоро́дщинка	белгоро́дщинцы
Белгра́д	белгра́дец	белгра́дка	белгра́дцы
Бели́з	бели́зец	бели́зка	бели́зцы
Белору́ссия	белору́с	белору́ска	белору́сы
Бе́льгия	бельги́ец	бельги́йка	бельги́йцы
Бельмопа́н	бельмопа́нец	бельмопа́нка	бельмопа́нцы
Бени́н	бени́нец	бени́нка	бени́нцы
Берли́н	берли́нец	берли́нка	берли́нцы
Берн	бе́рнец	бе́рнка	бе́рнцы
Бёрнт-Пайн	бёрнтпайнец	бёрнтпайнка	бёрнтпайнцы
Беробиджа́н	беробиджа́нец	беробиджа́нка	беробиджа́нцы
Би́рма	би́рманец	би́рманка	би́рманцы
Биса́у	биса́увец	биса́увка	биса́увцы
Би́смарк 	би́смаркец	би́смаркка	би́смаркцы
Бишке́к	бишке́куц	бишке́кка	бишке́кцы
Благове́щенск	благове́щенец	благове́щенка	благове́щенцы
Богота́	богата́нец	богата́нка	богата́нцы
Бо́йсе 	бо́йсеец	бо́йсейка	бо́йсецы
Болга́рия	болга́рин	болга́рка	болга́ры
Боли́вия	боливи́ец	боливи́йка	боливи́йцы
Бонн	бо́ннец	бо́ннка	бо́ннцы
Бо́сния	босни́ец	босни́йка	босни́йцы
Бо́стон 	бо́стонец	бо́стонка	бо́стонцы
Ботсва́на	ботсва́нец	ботсва́нка	ботсва́нцы
Браззави́ль	браззави́лец	браззави́лька	браззави́льцы
Брази́лиа	брази́льанец	брази́льанка	брази́льанцы
Брази́лия	брази́лец	бразилья́нка	брази́льцы
Бра́нденбург	бра́нденбу́ргец	бра́нденбу́ргка	бра́нденбу́ргцы
Братисла́ва	братисла́вец	братисла́венка	братисла́вцы
Бре́мен	бре́менец	бре́менка	бре́менцы
Бриджта́ун	бриджта́унец	бриджта́унка	бриджта́унцы
Бруне́й	бруне́ец	бруне́йка	бруне́йцы
Брюссе́ль	брюссе́лец	брюсселья́нка	брюссе́льцы
Брянск	брянча́нин	брянча́нка	брянча́не
Бря́нская о́бласть	бря́нщинец	бря́нщинка	бря́нцы
Бря́нщина	бря́нщинец	бря́нщинка	бря́нщицы
Будапе́шт	будапе́штец	будапе́штка	будапе́штцы
Буркина́-Фасо́	буркини́ец	буркини́йка	буркини́йцы
Буру́нди	бурунди́ец	бурунди́йка	бурунди́йцы
Буря́тия	буря́т	буря́тка	буря́ты
Бута́н	бута́нец	бута́нка	бута́нцы
Бухаре́ст	бухаре́стец	бухаре́стка	бузаре́стцы
Буэ́нос-А́йрес	бу́эноса́йресец	бу́эноа́йреска	буэ́носа́йресцы
Ваду́ц	ваду́цец	ваду́цка	ваду́ццы
Вайо́минг	вайо́мингец	вайо́мингка	вайо́мингцы
Валле́тта	валле́ттец	валле́ттанка	валле́ттцы
Вануа́ту	вануа́тец	вануа́тка	вануа́тцы
Варша́ва	варша́вец	варшавя́нка	варша́вцы
Ватика́н	ватика́нец	ватика́нка	ватика́нцы
Вашингто́н	вашингто́нец	вашингто́нка	вашингто́нцы
Вели́кий Но́вгород	но́вгородец	но́вгородка	но́вгородцы
Великобрита́ния	великобрита́нец	великобрита́нка	великобрита́нцы
Ве́ллингто́н	ве́ллингто́нец	ве́ллингто́нка	ве́ллингто́нцы
Ве́на	ве́нец	ве́нка	ве́нцы
Ве́нгрия	венгр	венге́рка	ве́нгры
Венесуэ́ла	венесуэ́лец	венесуэ́лка	венесуэ́льцы
Вермо́нт	вермо́нтец	вермо́нтка	вермо́нтцы
Викто́рия	викториа́нец	викториа́нка	викториа́нцы
Ви́льнюс	ви́льнюсец	ви́льнюска	ви́льнюсцы
Ви́ндхук	ви́ндхукнец	ви́ндхукка	ви́ндхукцы
Вирги́ния	вирги́нец	вирги́нка	вирги́нцы
Ви́сба́ден	висба́денец	висба́денка	висба́денцы
Виско́нсин	виско́нсинец	виско́нсинка	виско́нсинцы
Владивосто́к	владивосто́кец	владивосто́чка	владивосто́кцы
Владивосто́к	владивосто́ковец	владивосто́ковка	владивосто́ковцы
Владикавка́з	владикавка́зец	владикавка́зка	владикавка́зцы
Влади́мир	влади́мирец	владир́ка	влади́мирцы
Влади́мировщина	влади́мировщинец	владир́овщинка	влади́мировщинцы
Влади́мирская о́бласть	влади́мировец	владир́овка	влади́мировцы
Волгогра́д	волгогра́дец	волгогра́дка	волгогра́дцы
Волгогра́дщина	волгогра́дщинец	волгогра́дщинка	волгогра́дщинцы
Во́логда	волого́дец	волого́дка	волого́дцы
Волого́дщина	волого́дщинец	волого́дщинка	волого́дщинцы
Воро́неж	воро́нежец	воро́нежка	воро́нежцы
Воро́нежщина	воро́нежщинец	воро́нежщинка	воро́нежщинцы
Восто́чная Евро́па	восто̀чноевропе́ец	восто̀чноевропе́йка	восто̀чноевропе́йцы
Вьентья́н	вьентья́нец	вьентья́нка	вьентья́нцы
Вьетна́м	вьетна́мец	вьетна́мка	вьетна́мцы
Вэ́ст-А́йленд / Уэ́ст-А́йленд	вэста́йлендец	вэста́йлендка	вэста́йлендцы
Габо́н	габо́нец	габо́нка	габо́нцы
Габоро́не	габоро́нец	габоро́нка	габоро́нцы
